Name,Actors,Score,About,Genre,Crew,Image,Voted,Type
 عطش,"[' بهرام رادان', ' فریبرز عرب نیا', ' شهرام حقیقت دوست', ' شبنم قلی خانی', ' ساغر عزیزی', ' طیب شرافتی']",0.88,,"['اکشن', 'ماجراجویی']","[' محمدحسین فرح بخش', ' عبدالله علیخانی', ' فرج الله حیدری ', ' پیمان معادی', ' کیوان جهانشاهی']",https://static.cdn.asset.filimo.com/flmt/mov_9937_959-m.jpg,761,فیلم
 یکی از میان همه,"[' سروش صحت', ' رامین راستاد', ' آزاده صمدی', ' کیانوش گرامی', ' حمیدرضا پگاه']",0.69,نیلوفر و نرگس بدون اطلاع همسرانشان مجبور به سفری ناخواسته می شوند و همسرانشان در تعقیب آنها...,"['اکشن', 'هیجان انگیز']",[' ابراهیم شیبانی'],https://static.cdn.asset.filimo.com/flmt/mov_1566_15587-m.jpg,280,فیلم
 جاده جنایت,"[' لعیا زنگنه', ' کاوه آرمیده', ' حشمت الله آرمیده']",0.76,وقتی کتایون نگرانی و اضطراب بیش از حد شوهرش – کامبیز – را می بیند، وی را نزد یک روانپزشک می فرستد و خود برای بازی در یک فیلم عازم ویلایشان در شمال می شود. در شمال کتایون که مجبور است به دلیل وضعیت نامناسب هوا در ویلا بماند...,"['اکشن', 'هیجان انگیز']","[' جهانبخش ایمانی', ' ذبیح الله رحمانی', ' آرزو محمدنژاد', ' جهانبخش ایمانی']",https://static.cdn.asset.filimo.com/flmt/mov_740_114-m.jpg,530,فیلم
 ساوالان,"[' مجید مظفری', ' محمد برسوزیان', ' فردوس کاویانی', ' خسرو دستگیر']",0.9,روستای ساوالان هرسال توسط گروهی راهزن غارت می شود. اهالی روستا گروهی را برای کمک می طلبند جوانی به نام سلام به این گروه ملحق می شود. ولی گروهی که برای کمک آمده اند باعث اتفاقات دیگری می شوند.,"['اکشن', 'ماجراجویی']","[' یدالله صمدی', ' سیفعلی سیدکوثری نژاد', ' یدالله صمدی', ' فرهاد فخرالدینی', ' حسن قلی زاده']",https://static.cdn.asset.filimo.com/flmt/mov_6037_598-m.jpg,493,فیلم
 پوزه چرمی,"[' ندا مقصودی', ' وحید جباری']",0.68,مردی برای رسیدن به اهدافش با پس انداز همسرش دست به خرید اره برقی می زند ...,"['فیلم تئاتر', 'خانوادگی']","[' محمدعلی زمانی', ' هلموت کراوزر', ' محمد مهدی صباغیان', ' رامین ارقند', ' نسیم ملکی', ' وحید صالحی', ' مسعود خرداد', ' وحید مشایخی']",https://static.cdn.asset.filimo.com/flmt/mov_2585_38171-m.jpg,182,فیلم
 همکلاس,"[' علی قربان زاده', ' رامبد شکرآبی', ' حدیث فولادوند', ' پرستو صالحی', ' غلامعلی برجسته']",0.77,,"['خانوادگی', 'اجتماعی']","[' سعید خورشیدیان', ' محسن مسافرچی', ' سعید خورشیدیان', ' غلامعلی برجسته', ' بهرام سعیدی', ' حسین ملکی']",https://static.cdn.asset.filimo.com/flmt/mov_34072_15582-m.jpg,358,فیلم
 شکلاتی,"[' شبنم مقدمی', ' ناصر هاشمی', ' محمدرضا هدایتی', ' ارژنگ امیرفضلی', ' فرزین محدث', ' علیرضا مسعودی']",0.9,فیلم شکلاتی درباره این فیلم درباره کارخانه شکلات سازی است که به پارسای ۱۳ ساله ارث می رسد و پارسا با کمک دوستان خود سعی در اداره آن دارد.,"['خانوادگی', 'کمدی']","[' سهیل موفق', ' کریم خودسیانی', ' ایرج محمدی']",https://static.cdn.asset.filimo.com/flmt/mov_26799_1-m.jpg,18330,فیلم
 دلشوره,"[' مجید مشیری', ' امیرمحمد زند', ' کوروش سلیمانی', ' معصومه میرحسینی', ' ملیکا طباخی']",0.73,,"['خانوادگی', 'اجتماعی']","[' مهرداد پوراحمد', ' کیومرث پوراحمد', ' کیومرث پوراحمد', ' ناصر کاووسی']",https://static.cdn.asset.filimo.com/flmt/mov_33760_717-m.jpg,114,فیلم
 فریاد در شب,"[' ایرج نوذری', ' حدیث فولادوند', ' نازنین کریمی', ' محمود مقامی', ' زهره حمیدی']",0.69,دختری به نام هما که در فراز و نشیب زندگی اثیر حوادثی می شود که زندگی او را از سیر طبیعی خود خارج کرده و او را دچار کابوس می کند. همزمان او در گیر و دار قتل هایی قرار می گیرد که پلیس به دنبال پیداکردن سرنخی برای سرمنشأ این قتل هاست.,"['خانوادگی', 'اجتماعی']","[' کریم رجبی', ' هایده رزم آور', ' مسعود عسگری']",https://static.cdn.asset.filimo.com/flmt/mov_11376_14525-m.jpg,224,فیلم
 افسانه های جاویدان - حکایت های مثنوی معنوی,[],0.82,"پادشاه قدرتمند و توانایی, روزی برای شكار با درباریان خود به صحرا رفت, در راه كنیزك زیبایی دید و عاشق او شد. پول فراوان داد و دخترك را از اربابش خرید, پس از مدتی كه با كنیزك بود. كنیزك بیمار شد و شاه بسیار غمناك گردید.",['تاریخی | مذهبی'],"[' رسول نجفیان', ' محمود کشاورز', ' شامل تافته']",https://static.cdn.asset.filimo.com/flmt/mov_310_817-m.jpg,237,فیلم
 دربست,"[' رضا ناجی', ' شقایق فراهانی', ' امیرحسین صدیق', ' نرگس محمدی', ' بیژن بنفشه خواه', ' محسن افشانی', ' خاطره حاتمی', ' حسین سلیمانی', ' نیما شاهرخ شاهی', ' احسان کرمی', ' امیر کربلایی زاده', ' سام درخشانی', ' صادق هاتفی']",0.78,,"['خانوادگی', 'اجتماعی']","[' علی خامه پرست', ' حسین مصطفوی', ' وحید ابراهیمی']",https://static.cdn.asset.filimo.com/flmt/mov_29071_33315-m.jpg,1107,فیلم
 دیدن این فیلم جرم است,"[' مهدی زمین پرداز', ' امیر آقایی', ' لیندا کیانی', ' حسین پاکدل', ' حمیدرضا پگاه', ' محمود پاک نیت']",0.92,,"['خانوادگی', 'اجتماعی']","[' رضا زهتابچیان', ' محمدرضا شفاه', ' رضا زهتابچیان', ' روزبه رایگا', ' امید روشن بین']",https://static.cdn.asset.filimo.com/flmt/mov_82392_391-m.jpg,70456,فیلم
 هلن,"[' رؤیا نونهالی', ' پژمان بازغی', ' امین حیایی', ' روشنک گرامی']",0.78,,"['خانوادگی', 'اجتماعی']","[' علی ثقفی', ' علی ثقفی', ' فرشاد گل سفیدی', ' امیرحسین ثقفی', ' شراره سروش', ' آریا عظیمی نژاد']",https://static.cdn.asset.filimo.com/flmt/mov_5496_1-m.jpg,4997,فیلم
 دوستان,"[' محمد صالح علا', ' یوسف مرادیان', ' مهناز افشار', ' سارا خوئینی ها', ' محمود عزیزی', ' داوود موثقی', ' جلال پیشواییان', ' مهوش وقاری']",0.83,,"['خانوادگی', 'اجتماعی']","[' علی شاه حاتمی', ' علی شاه حاتمی', ' عبدالله علیخانی', ' رضا بانکی']",https://static.cdn.asset.filimo.com/flmt/mov_3403_308-m.jpg,426,فیلم
 دختران انتظار,"[' پارسا پیروزفر', ' نیکی کریمی', ' شراره رخام', ' امید متقی', ' کامبیز دیرباز', ' فخرالدین صدیق شریف', ' هوشنگ قوانلو', ' وجیهه لقمانی', ' رحمان رضایی']",0.89,سعید مسرور دانشجوی رشته پزشکی برای پرداخت قرض خود به آقای سام ناچار می شود برای گرفتن وام، با دختر دانشجویی به نام روشنک ازدواج صوری انجام دهد تا بتواند از وام ازدواج بهره مند شود. از طرفی دیگر شراره دختر آقای سام به سعید علاقمند شده و...,"['عاشقانه', 'خانوادگی']","[' رحمان رضایی', ' رحمان رضایی', ' داریوش بابائیان', ' مجتبی رحیمی', ' محمدهادی کریمی', ' ناصر چشم آذر']",https://static.cdn.asset.filimo.com/flmt/mov_1054_592-m.jpg,1949,فیلم
 تمرین برای اجرا,"[' میکائیل شهرستانی', ' مهدی میامی', ' محمدعلی سجادی', ' محمود راسخ فر', ' محمد ساربان', ' حسین فلاح']",0.59,یک کارگردان تئاتر تصمیم می گیرد تا با جمع کردن گروهی بتواند داستان سیاوش را از روی شاهنامه فردوسی بخوانند و برای اجرا تمرین کنند…,['تاریخی | مذهبی'],"[' محمدرضا سکوت', ' محمدعلی سجادی', ' محمدعلی سجادی', ' محمدعلی سجادی']",https://static.cdn.asset.filimo.com/flmt/mov_26069_1-m.jpg,111,فیلم
 گریز,"[' فرامرز قریبیان', ' بهزاد جوانبخش', ' مهناز اسلامی', ' پروین سلیمانی', ' احمد معینی']",0.88,,"['اکشن', 'پلیسی معمایی']","[' ناصر مهدی پور', ' شعبانعلی اسلامی', ' اسفندیار شهیدی', ' شهرام امامی']",https://static.cdn.asset.filimo.com/flmt/mov_11971_299-m.jpg,1115,فیلم
